duration,bytes_sent,bytes_received,failed_logins,port,protocol,label
5,500,800,0,80,TCP,normal
3,300,600,0,443,TCP,normal
10,1200,1500,1,80,TCP,normal
7,700,900,0,53,UDP,normal
4,400,500,0,443,TCP,normal
6,800,1200,1,80,TCP,normal
2,200,300,0,53,UDP,normal
8,1000,1400,1,443,TCP,normal
12,1500,2000,2,80,TCP,normal
9,900,1100,0,443,TCP,normal
15,1600,2200,1,80,TCP,normal
11,1300,1800,0,443,TCP,normal
13,1400,1900,1,53,UDP,normal
6,600,750,0,80,TCP,normal
14,1700,2100,2,443,TCP,normal
60,10000,15000,10,22,TCP,suspicious
80,15000,20000,12,23,TCP,suspicious
90,20000,25000,15,3389,TCP,suspicious
50,9000,12000,8,22,TCP,suspicious
70,12000,18000,9,23,TCP,suspicious
100,25000,30000,20,3389,TCP,suspicious
65,11000,16000,11,22,TCP,suspicious
85,18000,22000,14,23,TCP,suspicious
95,21000,27000,16,3389,TCP,suspicious
75,14000,19000,13,22,TCP,suspicious
55,9500,13000,7,23,TCP,suspicious
110,28000,35000,18,3389,TCP,suspicious
68,12500,17000,10,22,TCP,suspicious
88,19000,24000,15,23,TCP,suspicious
105,26000,31000,19,3389,TCP,suspicious
